id	key	label	domain	nes	num_domains	FDR
2091	ZCCHC11	2153	12	0.7866046624301565	2.0	0.16345391892755123
2092	MAPK8	2152	5	6.666214250101539	2.0	2.15668019359273e-07
2093	CNOT11	917	5	4.820238433042949	3.0	1.51273051265048e-05
2094	RBMS1	2151	12	0.7866046624301565	2.0	0.16345391892755123
2095	AHR	2150	0	3.4011064744927	0.0	0.00039709418331173246
2096	PDE3B	2149	12	0.7866046624301565	2.0	0.16345391892755123
2097	ARNT	2148	12	0.7866046624301565	2.0	0.16345391892755123
2098	C12orf4	2147	10	1.727082136253827	2.0	0.01874639931923769
2099	ARHGEF11	2146	13	2.9005690342295147	12.0	0.0012572769852689175
2100	PGR	2145	12	1.8743180047161816	3.0	0.013356171755403217
2101	PRKAR1A	392	13	5.631565420991339	23.0	2.3357942177495613e-06
2102	MAP3K2	2144	0	2.278907525452128	0.0	0.005261292834438555
2103	PDE7A	2143	12	1.8743180047161816	3.0	0.013356171755403217
2104	PUM1	2142	20	4.189810639877645	2.0	6.459358071499682e-05
2105	UCHL3	2141	1	35.52340876640361	55.0	2.996340977011986e-36
2106	PSMC3IP	391	1	43.56947905487897	76.0	2.694765292150851e-44
2107	RRM2	2140	1	35.52340876640361	55.0	2.996340977011986e-36
2108	SPINK7	2139	17	8.073162152382432	20.0	8.449633025971417e-09
2109	PTPN11	388	17	12.687689753575034	23.0	2.0526279885781125e-13
2110	GFOD1	2138	16	3.8217235637418727	2.0	0.00015075663539836244
2111	STAM	2137	17	8.073162152382432	20.0	8.449633025971417e-09
2112	C14orf79	2136	17	8.073162152382432	20.0	8.449633025971417e-09
2113	IQGAP1	2135	17	8.073162152382432	20.0	8.449633025971417e-09
2114	ATXN2L	2134	2	9.819734027678669	6.0	1.5144884734206557e-10
2115	GLCE	2133	17	12.74098094794649	19.0	1.815595309330269e-13
2116	ADCK4	2132	28	36.026237726389795	0.0	9.413741611424516e-37
2117	PYURF	387	28	47.60719012345476	0.0	2.470642321724011e-48
2118	GATAD2A	2131	9	10.29259659901062	6.0	5.098041905209741e-11
2119	RAB14	385	11	1.41784318854859	13.0	0.03820822050117718
2120	BLOC1S2	2130	9	10.29259659901062	6.0	5.098041905209741e-11
2121	CCDC132	2129	9	10.29259659901062	6.0	5.098041905209741e-11
2122	C17orf107	2128	0	0.0	6.0	1.0
2123	HTT	384	6	2.267630747857488	11.0	0.005399695281091592
2124	TMEM165	2127	9	6.2372017136862805	10.0	5.791596357676907e-07
2125	MON2	615	9	9.364815947512149	12.0	4.317019918652581e-10
2126	ASNA1	2126	0	0.0	6.0	1.0
2127	VIPAS39	2125	9	10.29259659901062	6.0	5.098041905209741e-11
2128	RAB7A	2124	14	3.998226483527885	10.0	0.000100409202214353
2129	EMC8	2123	0	-0.0	0.0	1.0
2130	FDFT1	2122	0	-0.0	0.0	1.0
2131	RAB5C	377	0	-0.0	0.0	1.0
2132	KNCN	2121	0	-0.0	0.0	1.0
2133	MTDH	2120	38	3.2907204837618336	0.0	0.0005120112650478874
2134	TPK1	126	38	2.0913443878111577	0.0	0.008103182350447052
2135	RAB35	2119	3	3.206563355452909	2.0	0.0006214935768348389
2136	ATP6V1H	2118	0	-0.0	0.0	1.0
2137	ZDHHC17	2117	0	-0.0	0.0	1.0
2138	RABGEF1	376	0	-0.0	0.0	1.0
2139	HNRNPUL1	2116	0	0.3999851088661055	0.0	0.39812082112716046
2140	ZNF101	2115	0	-0.0	0.0	1.0
2141	GSR	2114	0	1.9378580715881837	0.0	0.01153830270536566
2142	KLHDC10	2113	0	-0.0	0.0	1.0
2143	INTS3	2112	4	1.7950656413138912	3.0	0.016030030869409694
2144	TGFBRAP1	2111	0	-0.0	0.0	1.0
